Year Completed,Status,Job Number,Sector,Job Name,Contractor,Project Address,State,Latitude,Longitude,Link
2020,Complete,AUZUS0111,Education,"University of Houston Housing ""The Quad""",Austin Commercial - Dallas,4800 Calhoughn Rd Houston TX 77004,Texas,29.72185938,-95.3401128,
2017,Complete,AUZUS0031,Education,NORTH RICHLAND MIDDLE SCHOOL,Ratcliff Constructors,4801 Redondo St North Richland TX Hills 761880,Texas,32.834769,-97.235298,
2018,Complete,AUZUS0112,Education,Buckner Terrace Montessori (Preiously Edna Rowe Elementary School),Big Sky Construction,4918 Hovenkamp Dr Dallas TX 75227,Texas,32.78497176,-96.70663343,https://www.auzmet.com/buckner-terrace
In Progress,Active,AUZUS0272,Education,University of Texas Arlington Life Science,Hensel Phelps,"501 S Nedderman Dr, Arlington, TX 76013",Texas,32.7288029,-97.11277107,
In Progress,Active,AUZUS0295,Education,Garland MPAC,CORE,501 South Jupiter Rd. Garland TX 75042,Texas,32.90860091,-96.68396412,
In Progress,Active,AUZUS0255,Education,Fairview Elementary Sschool,CORE Construction,"501 W Taylor St, Sherman, TX 75090",Texas,33.654742,-96.62136919,
In Progress,Active,AUZUS0256,Education,Crutchfield Elementary School,CORE Construction,"521 S Dewey Ave, Sherman, TX 75090",Texas,33.63675317,-96.58637983,
2025,Complete,AUZUS0235,Education,Henry W Longfellow Academy,Cadence McShane Construction,"5314 Boaz St, Dallas, TX 75209",Texas,32.84782034,-96.81939007,
In Progress,Active,AUZUS0298,Education,TCAT Memphis,Turner,"550 Alabama Ave. Memphis, TN 38103",Tennessee,35.14945503,-90.03900791,
In Progress,Active,AUZUS0311,Education,TL Marsalis,Crowther Group,"5640 S Marsalis Ave, Dallas, TX 75241",Texas,32.67801678,-96.81398604,
2017,Complete,AUZUS0076,Education,Allen ISD,Balfour Beatty - Dallas,5705 Cheyenne Drive Allen TX 75002,Texas,33.08112664,-96.63829,
2018,Complete,AUZUS0069,Education,Lowery 9th Grade,Lee Lewis Construction,601 E. Main St. Allen TX 75002,Texas,33.10282949,-96.65726997,
In Progress,Active,AUZUS0274,Education,Texas State STEM Classroom,Skanska,"601 University Dr. 
San Marcos, TX 78666",Texas,29.88873951,-97.93740314,
2019,Complete,AUZUS0106,Education,Lowery Dillard,Lee Lewis Construction,610 E Bethany Dr. Allen TX 75002,Texas,33.08495814,-96.66523155,
2020,Complete,AUZUS0107,Education,UTSWMC,Austin Commercial - Dallas,6201 Harry Hines Blvd Dallas TX 75201,Texas,32.81980148,-96.84218865,
2025,Complete,AUZUS0239,Education,Garland Central Library,CORE Construction,"625 Austin St, Garland, TX 75040",Texas,32.91476317,-96.63837867,
In Progress,Active,AUZUS0308,Education,Herndon Elementary School,Howard Shockey & Sons,"630 Dranesville Rd, Herndon, VA 20170",Virginia,38.97592405,-77.37674225,
